timestamp,event_type,object_class,object_id,description,duration,confidence
2025-10-11 11:17:34,appeared,truck,54,truck appeared,0,0.5210356
2025-10-11 11:17:36,disappeared,car,53,Left frame,2.40053653717041,0
2025-10-11 11:18:21,appeared,car,0,car appeared,0,0.73836905
2025-10-11 11:18:21,appeared,car,1,car appeared,0,0.5967799
2025-10-11 11:18:22,appeared,car,2,car appeared,0,0.69834656
2025-10-11 11:18:22,appeared,car,3,car appeared,0,0.5574993
2025-10-11 11:18:22,appeared,car,4,car appeared,0,0.58271223
2025-10-11 11:18:23,appeared,car,5,car appeared,0,0.56956184
2025-10-11 11:18:24,line_crossed,car,5,Entered (crossed line),0,0.56956184
2025-10-11 11:18:24,appeared,car,6,car appeared,0,0.8040321
2025-10-11 11:18:25,appeared,car,7,car appeared,0,0.6406896
2025-10-11 11:18:26,disappeared,car,1,Left frame,5.223077297210693,0
2025-10-11 11:18:27,disappeared,car,0,Left frame,6.1323747634887695,0
2025-10-11 11:18:27,line_crossed,car,3,Entered (crossed line),0,0.5574993
2025-10-11 11:18:28,disappeared,car,4,Left frame,5.174530267715454,0
2025-10-11 11:18:29,appeared,car,8,car appeared,0,0.6227121
2025-10-11 11:18:33,disappeared,car,2,Left frame,10.507199048995972,0
2025-10-11 11:18:33,appeared,car,9,car appeared,0,0.7692058
2025-10-11 11:18:35,appeared,car,10,car appeared,0,0.79127187
2025-10-11 11:18:35,appeared,car,11,car appeared,0,0.8589621
2025-10-11 11:18:37,appeared,car,12,car appeared,0,0.5007388
2025-10-11 11:18:37,disappeared,car,8,Left frame,7.691150665283203,0
2025-10-11 11:18:37,appeared,car,13,car appeared,0,0.62298524
2025-10-11 11:18:39,disappeared,car,5,Left frame,15.879515647888184,0
2025-10-11 11:18:39,disappeared,car,7,Left frame,13.596419334411621,0
2025-10-11 11:18:39,disappeared,car,9,Left frame,5.809401035308838,0
2025-10-11 11:18:40,disappeared,car,6,Left frame,15.471900463104248,0
2025-10-11 11:18:41,disappeared,car,11,Left frame,5.422692775726318,0
2025-10-11 11:18:44,appeared,car,14,car appeared,0,0.5501355
2025-10-11 11:18:45,appeared,car,15,car appeared,0,0.64306027
2025-10-11 11:18:46,appeared,car,16,car appeared,0,0.57989436
2025-10-11 11:18:46,disappeared,car,10,Left frame,11.334314346313477,0
2025-10-11 11:18:47,appeared,car,17,car appeared,0,0.89026725
2025-10-11 11:18:48,disappeared,car,12,Left frame,11.291050434112549,0
2025-10-11 11:18:50,appeared,car,18,car appeared,0,0.50454766
2025-10-11 11:18:50,disappeared,car,16,Left frame,4.195729970932007,0
2025-10-11 11:18:50,disappeared,car,14,Left frame,6.104357481002808,0
2025-10-11 11:18:51,appeared,car,19,car appeared,0,0.5246207
2025-10-11 11:18:52,disappeared,car,17,Left frame,5.388113975524902,0
2025-10-11 11:18:52,appeared,car,20,car appeared,0,0.802627
2025-10-11 11:18:52,appeared,car,21,car appeared,0,0.51328653
2025-10-11 11:18:54,disappeared,car,15,Left frame,9.338168144226074,0
2025-10-11 11:18:55,appeared,car,22,car appeared,0,0.51516306
2025-10-11 11:18:55,disappeared,car,13,Left frame,18.066710948944092,0
2025-10-11 11:18:56,appeared,car,23,car appeared,0,0.7005132
2025-10-11 11:18:56,disappeared,car,3,Left frame,33.27936506271362,0
2025-10-11 11:18:57,appeared,car,24,car appeared,0,0.62166256
